scenario,k,cmd,rc,output,setpoint,error,p,i,d,ff,unsat,flags,last_error
p_only,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
p_only,1,u,0,2,1,1,2,0,0,0,2,4,0
p_only,2,u,0,1.6000000000000001,1,0.80000000000000004,1.6000000000000001,0,0,0,1.6000000000000001,4,0
p_only,3,u,0,1,1,0.5,1,0,0,0,1,4,0
p_only,4,u,0,0.19999999999999996,1,0.099999999999999978,0.19999999999999996,0,0,0,0.19999999999999996,4,0
p_only,5,u,0,0,1,0,0,0,0,0,0,4,0
p_only,6,u,0,-0.20000000000000018,1,-0.10000000000000009,-0.20000000000000018,0,0,0,-0.20000000000000018,4,0
pi_backward,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
pi_backward,1,u,0,15.4,10,10,15,0.40000000000000008,0,0,15.4,4,0
pi_backward,2,u,0,14.26,10,9,13.5,0.76000000000000023,0,0,14.26,4,0
pi_backward,3,u,0,12.31,10,7.5,11.25,1.0600000000000003,0,0,12.31,4,0
pi_backward,4,u,0,10.300000000000001,10,6,9,1.3000000000000003,0,0,10.300000000000001,4,0
pi_backward,5,u,0,7.4600000000000009,10,4,6,1.4600000000000004,0,0,7.4600000000000009,4,0
pi_backward,6,u,0,4.5400000000000009,10,2,3,1.5400000000000005,0,0,4.5400000000000009,4,0
pi_backward,7,u,0,2.3100000000000005,10,0.5,0.75,1.5600000000000005,0,0,2.3100000000000005,4,0
pi_backward,8,u,0,1.5600000000000005,10,0,0,1.5600000000000005,0,0,1.5600000000000005,4,0
pi_backward,9,u,0,0.94399999999999995,10,-0.40000000000000036,-0.60000000000000053,1.5440000000000005,0,0,0.94399999999999995,4,0
pi_trapezoidal,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
pi_trapezoidal,1,u,0,15.199999999999999,10,10,15,0.20000000000000004,0,0,15.199999999999999,4,0
pi_trapezoidal,2,u,0,14.08,10,9,13.5,0.58000000000000007,0,0,14.08,4,0
pi_trapezoidal,3,u,0,12.16,10,7.5,11.25,0.91000000000000014,0,0,12.16,4,0
pi_trapezoidal,4,u,0,10.18,10,6,9,1.1800000000000002,0,0,10.18,4,0
pi_trapezoidal,5,u,0,7.3799999999999999,10,4,6,1.3800000000000001,0,0,7.3799999999999999,4,0
pi_trapezoidal,6,u,0,4.5,10,2,3,1.5000000000000002,0,0,4.5,4,0
pi_trapezoidal,7,u,0,2.3000000000000003,10,0.5,0.75,1.5500000000000003,0,0,2.3000000000000003,4,0
pi_trapezoidal,8,u,0,1.5600000000000003,10,0,0,1.5600000000000003,0,0,1.5600000000000003,4,0
pi_trapezoidal,9,u,0,0.95199999999999974,10,-0.40000000000000036,-0.60000000000000053,1.5520000000000003,0,0,0.95199999999999974,4,0
pid_filtered,0,init,0,0,nan,nan,nan,nan,nan,nan,nan,0,0
pid_filtered,1,u,0,15.119999999999999,5,5,15,0.12,0,0,15.119999999999999,4,0
pid_filtered,2,u,0,11.744685714285712,5,4.5999999999999996,13.799999999999999,0.23039999999999999,-2.285714285714286,0,11.744685714285712,4,0
