plant,method,noise_sigma,ok,status,ku_true,ku_id,ku_err_pct,pu_true,pu_id,pu_err_pct,k_true,k_id,k_err_pct,t_true,t_id,t_err_pct,l_true,l_id,l_err_pct,elapsed_s,cycles,quality,iae_exact,iae_ident,penalty_pct
easy L/T=0.1,relay,0.0000,1,OK,8.175277,6.103275,-25.345,0.385000,0.420000,9.091,2.000000,,,1.000000,,,0.100000,,,4.040,4,99,0.635374,0.708667,11.5354
easy L/T=0.1,relay,0.0020,1,OK,8.175277,5.233291,-35.986,0.385000,0.497502,29.221,2.000000,,,1.000000,,,0.100000,,,4.430,4,80,0.635374,0.710400,11.8082
easy L/T=0.1,relay,0.0100,1,OK,8.175277,3.058402,-62.590,0.385000,0.757511,96.756,2.000000,,,1.000000,,,0.100000,,,6.020,4,55,0.635374,0.849070,33.6331
easy L/T=0.1,step,0.0000,1,OK,8.175277,,,0.385000,,,2.000000,1.999259,-0.037,1.000000,0.987202,-1.280,0.100000,0.109752,9.752,9.400,1,100,0.331308,0.353021,6.5538
easy L/T=0.1,step,0.0020,1,OK,8.175277,,,0.385000,,,2.000000,1.998825,-0.059,1.000000,0.982330,-1.767,0.100000,0.112984,12.984,8.870,1,100,0.331308,0.360202,8.7213
easy L/T=0.1,step,0.0100,1,OK,8.175277,,,0.385000,,,2.000000,1.977074,-1.146,1.000000,0.870482,-12.952,0.100000,0.175469,75.469,5.480,1,100,0.331308,0.502319,51.6172
typical L/T=0.3,relay,0.0000,1,OK,2.945083,2.373928,-19.394,1.082439,1.100023,1.624,2.000000,,,1.000000,,,0.300000,,,7.980,4,99,1.132544,1.216134,7.3808
typical L/T=0.3,relay,0.0020,1,OK,2.945083,2.267271,-23.015,1.082439,1.155024,6.706,2.000000,,,1.000000,,,0.300000,,,8.270,4,93,1.132544,1.229588,8.5687
typical L/T=0.3,relay,0.0100,1,OK,2.945083,1.775727,-39.705,1.082439,1.387532,28.186,2.000000,,,1.000000,,,0.300000,,,9.550,4,60,1.132544,1.391821,22.8933
typical L/T=0.3,step,0.0000,1,OK,2.945083,,,1.082439,,,2.000000,1.999411,-0.029,1.000000,0.989321,-1.068,0.300000,0.308208,2.736,9.920,1,100,0.821961,0.834583,1.5356
typical L/T=0.3,step,0.0020,1,OK,2.945083,,,1.082439,,,2.000000,1.999206,-0.040,1.000000,0.985963,-1.404,0.300000,0.310586,3.529,9.400,1,100,0.821961,0.838421,2.0025
typical L/T=0.3,step,0.0100,1,OK,2.945083,,,1.082439,,,2.000000,1.982386,-0.881,1.000000,0.886981,-11.302,0.300000,0.368497,22.832,5.900,1,96,0.821961,0.942816,14.7032
hard L/T=1.0,relay,0.0000,1,OK,2.261826,1.995440,-11.778,3.097060,3.020069,-2.486,1.000000,,,1.000000,,,1.000000,,,19.240,4,99,3.926645,4.341189,10.5572
hard L/T=1.0,relay,0.0020,1,OK,2.261826,1.964371,-13.151,3.097060,3.052570,-1.437,1.000000,,,1.000000,,,1.000000,,,19.440,4,94,3.926645,4.457530,13.5201
hard L/T=1.0,relay,0.0100,1,OK,2.261826,1.796383,-20.578,3.097060,3.185073,2.842,1.000000,,,1.000000,,,1.000000,,,20.280,4,94,3.926645,5.086756,29.5446
hard L/T=1.0,step,0.0000,1,OK,2.261826,,,3.097060,,,1.000000,0.999878,-0.012,1.000000,0.994956,-0.504,1.000000,1.004016,0.402,11.840,1,100,2.087308,2.092967,0.2711
hard L/T=1.0,step,0.0020,1,OK,2.261826,,,3.097060,,,1.000000,0.999964,-0.004,1.000000,0.995856,-0.414,1.000000,1.003336,0.334,11.310,1,100,2.087308,2.092021,0.2258
hard L/T=1.0,step,0.0100,1,OK,2.261826,,,3.097060,,,1.000000,0.997368,-0.263,1.000000,0.944094,-5.591,1.000000,1.037951,3.795,7.820,1,89,2.087308,2.146621,2.8416
slow L/T=0.1,relay,0.0000,1,OK,16.350554,12.206550,-25.345,3.850004,4.199936,9.089,1.000000,,,10.000000,,,1.000000,,,40.350,4,99,5.409154,5.929418,9.6182
slow L/T=0.1,relay,0.0020,1,OK,16.350554,10.604380,-35.144,3.850004,4.612430,19.803,1.000000,,,10.000000,,,1.000000,,,42.600,4,67,5.409154,6.272017,15.9519
slow L/T=0.1,relay,0.0100,0,auto-tune no oscillation,16.350554,,,3.850004,,,1.000000,,,10.000000,,,1.000000,,,55.900,,,,,
slow L/T=0.1,step,0.0000,1,OK,16.350554,,,3.850004,,,1.000000,0.999624,-0.038,10.000000,9.873572,-1.264,1.000000,1.095389,9.539,93.800,1,100,4.344360,4.439264,2.1846
slow L/T=0.1,step,0.0020,1,OK,16.350554,,,3.850004,,,1.000000,0.999607,-0.039,10.000000,9.863502,-1.365,1.000000,1.101680,10.168,93.800,1,100,4.344360,4.446152,2.3431
slow L/T=0.1,step,0.0100,1,OK,16.350554,,,3.850004,,,1.000000,0.989211,-1.079,10.000000,8.642570,-13.574,1.000000,1.824596,82.460,52.950,1,100,4.344360,5.467332,25.8490
furnace L/T=0.2,relay,0.0000,1,OK,2.834142,2.233812,-21.182,14.883045,15.399765,3.472,3.000000,,,20.000000,,,4.000000,,,121.200,4,99,18.718536,20.016916,6.9363
furnace L/T=0.2,relay,0.0020,1,OK,2.834142,2.065573,-27.118,14.883045,16.374750,10.023,3.000000,,,20.000000,,,4.000000,,,127.000,4,89,18.718536,20.209727,7.9664
furnace L/T=0.2,relay,0.0100,0,auto-tune validation failed,2.834142,,,14.883045,,,3.000000,,,20.000000,,,4.000000,,,149.000,,,,,
furnace L/T=0.2,step,0.0000,1,OK,2.834142,,,14.883045,,,3.000000,2.999001,-0.033,20.000000,19.772207,-1.139,4.000000,4.172354,4.309,193.000,1,100,11.995478,12.297159,2.5150
furnace L/T=0.2,step,0.0020,1,OK,2.834142,,,14.883045,,,3.000000,2.999039,-0.032,20.000000,19.765110,-1.174,4.000000,4.175831,4.396,192.600,1,100,11.995478,12.304448,2.5757
furnace L/T=0.2,step,0.0100,1,OK,2.834142,,,14.883045,,,3.000000,2.970212,-0.993,20.000000,17.436470,-12.818,4.000000,5.566248,39.156,110.300,1,97,11.995478,15.003987,25.0804
