plant,rule,axis,factor,kp,ki,kd,survived,rise_s,settle_s,overshoot_pct,iae,u_tv
easy L/T=0.1,Ziegler-Nichols,gain,0.50,4.90517,25.48136,0.23606,1,0.5400,1.8100,11.054,0.45931,1.8976
easy L/T=0.1,Ziegler-Nichols,gain,0.70,4.90517,25.48136,0.23606,1,0.3500,1.3900,15.278,0.35899,2.1915
easy L/T=0.1,Ziegler-Nichols,gain,1.00,4.90517,25.48136,0.23606,1,0.2300,0.7900,19.067,0.28181,2.3714
easy L/T=0.1,Ziegler-Nichols,gain,1.40,4.90517,25.48136,0.23606,1,0.1600,2.5800,22.512,0.30137,14.7673
easy L/T=0.1,Ziegler-Nichols,gain,1.70,4.90517,25.48136,0.23606,0,0.1300,20.0000,30.339,4.32059,523.9158
easy L/T=0.1,Ziegler-Nichols,gain,2.00,4.90517,25.48136,0.23606,0,0.1000,20.0000,44.615,5.32105,550.4503
easy L/T=0.1,Ziegler-Nichols,tau,0.50,4.90517,25.48136,0.23606,0,0.1100,20.0000,38.385,4.82502,543.9985
easy L/T=0.1,Ziegler-Nichols,tau,0.70,4.90517,25.48136,0.23606,1,0.1600,3.1500,19.223,0.31836,17.6907
easy L/T=0.1,Ziegler-Nichols,tau,1.00,4.90517,25.48136,0.23606,1,0.2300,0.7900,19.067,0.28181,2.3714
easy L/T=0.1,Ziegler-Nichols,tau,1.40,4.90517,25.48136,0.23606,1,0.3200,1.3700,18.582,0.35899,2.6973
easy L/T=0.1,Ziegler-Nichols,tau,1.70,4.90517,25.48136,0.23606,1,0.3900,1.5800,18.193,0.41470,3.0266
easy L/T=0.1,Ziegler-Nichols,tau,2.00,4.90517,25.48136,0.23606,1,0.4500,2.1400,17.760,0.46878,3.3080
easy L/T=0.1,Ziegler-Nichols,delay,0.50,4.90517,25.48136,0.23606,1,0.2300,0.8500,13.767,0.23228,1.9132
easy L/T=0.1,Ziegler-Nichols,delay,0.70,4.90517,25.48136,0.23606,1,0.2300,0.8300,14.172,0.25161,1.9975
easy L/T=0.1,Ziegler-Nichols,delay,1.00,4.90517,25.48136,0.23606,1,0.2300,0.7900,19.067,0.28181,2.3714
easy L/T=0.1,Ziegler-Nichols,delay,1.40,4.90517,25.48136,0.23606,1,0.2300,2.5600,29.156,0.44351,10.4594
easy L/T=0.1,Ziegler-Nichols,delay,1.70,4.90517,25.48136,0.23606,0,0.2300,20.0000,36.636,4.80032,197.2301
easy L/T=0.1,Ziegler-Nichols,delay,2.00,4.90517,25.48136,0.23606,0,0.2300,20.0000,43.928,7.19271,191.3859
easy L/T=0.1,Tyreus-Luyben,gain,0.50,3.67887,4.34341,0.22482,1,0.7800,1.5500,0.000,0.48091,1.0003
easy L/T=0.1,Tyreus-Luyben,gain,0.70,3.67887,4.34341,0.22482,1,0.5400,1.2200,0.000,0.36935,1.2860
easy L/T=0.1,Tyreus-Luyben,gain,1.00,3.67887,4.34341,0.22482,1,0.4000,1.0500,0.000,0.29499,1.6888
easy L/T=0.1,Tyreus-Luyben,gain,1.40,3.67887,4.34341,0.22482,1,0.3600,1.3100,0.090,0.25275,5.9214
easy L/T=0.1,Tyreus-Luyben,gain,1.70,3.67887,4.34341,0.22482,0,0.1400,20.0000,26.567,3.40328,477.0764
easy L/T=0.1,Tyreus-Luyben,gain,2.00,3.67887,4.34341,0.22482,0,0.1000,20.0000,29.278,5.44113,578.9775
easy L/T=0.1,Tyreus-Luyben,tau,0.50,3.67887,4.34341,0.22482,0,0.1200,20.0000,20.671,4.90480,544.6378
