plant,L_over_T,rule,model,kp,ki,kd,rise_s,settle_s,overshoot_pct,iae,itae,u_tv,sse
easy L/T=0.1,0.100,Ziegler-Nichols,FREQ,4.90517,25.48136,0.23606,0.2300,0.7900,19.067,0.28181,0.0622,2.3714,-0.000000
easy L/T=0.1,0.100,Tyreus-Luyben,FREQ,3.67887,4.34341,0.22482,0.4000,1.0500,0.000,0.29499,0.0833,1.6888,0.000000
easy L/T=0.1,0.100,Pessen-Integral,FREQ,5.72269,37.16031,0.33049,0.2300,1.0500,24.595,0.29037,0.0703,4.9196,-0.000000
easy L/T=0.1,0.100,Some-Overshoot,FREQ,2.69784,14.01475,0.34622,0.2300,2.3500,36.308,0.46052,0.2577,2.6184,0.000000
easy L/T=0.1,0.100,No-Overshoot,FREQ,1.63506,8.49379,0.20983,0.2500,2.8900,42.053,0.58129,0.4529,3.1439,0.000000
easy L/T=0.1,0.100,AMIGO-freq,FREQ,1.30804,7.38590,0.05036,0.2300,3.3400,48.010,0.63537,0.5296,4.0071,0.000000
easy L/T=0.1,0.100,Cohen-Coon,FOPDT,6.79167,28.75000,0.24256,0.2300,1.1600,6.154,0.26270,0.0624,6.3036,0.000000
easy L/T=0.1,0.100,AMIGO-step,FOPDT,2.35000,5.59524,0.11408,0.2600,1.4600,13.877,0.33131,0.1194,1.6420,0.000000
easy L/T=0.1,0.100,IMC-lambda,FOPDT,0.95455,0.90909,0.04545,0.9800,1.7600,0.207,0.54828,0.2556,0.6456,-0.000002
typical L/T=0.3,0.300,Ziegler-Nichols,FREQ,1.76705,3.26494,0.23909,0.2300,1.9000,32.626,0.66547,0.3727,2.5930,0.000000
typical L/T=0.3,0.300,Tyreus-Luyben,FREQ,1.32529,0.55652,0.22771,1.0500,5.7200,0.000,0.88839,1.3637,2.7068,0.000018
typical L/T=0.3,0.300,Pessen-Integral,FREQ,2.06156,4.76137,0.33473,0.2300,2.9000,32.879,0.69643,0.4627,4.0407,0.000000
typical L/T=0.3,0.300,Some-Overshoot,FREQ,0.97188,1.79572,0.35067,0.6500,5.0100,26.200,0.98663,1.2077,3.9680,0.000000
typical L/T=0.3,0.300,No-Overshoot,FREQ,0.58902,1.08831,0.21252,0.8500,5.9700,21.237,1.16681,1.5999,1.1515,-0.000000
typical L/T=0.3,0.300,AMIGO-freq,FREQ,0.47121,0.94636,0.05101,0.8100,5.3900,20.394,1.13254,1.3503,0.7812,-0.000002
typical L/T=0.3,0.300,Cohen-Coon,FOPDT,2.34722,3.56481,0.24282,0.2300,3.2300,30.913,0.65088,0.4437,5.2565,-0.000000
typical L/T=0.3,0.300,AMIGO-step,FOPDT,0.85000,1.23188,0.11697,0.5500,3.1900,15.867,0.82196,0.6764,1.1646,-0.000001
typical L/T=0.3,0.300,IMC-lambda,FOPDT,0.42593,0.37037,0.05556,2.3000,4.4300,0.000,1.34001,1.4635,0.1853,0.000001
hard L/T=1.0,1.000,Ziegler-Nichols,FREQ,1.35710,0.87638,0.52538,0.6600,7.6300,23.101,1.80109,2.6137,3.8270,-0.000000
hard L/T=1.0,1.000,Tyreus-Luyben,FREQ,1.01782,0.14938,0.50036,18.3200,39.0600,0.000,6.45828,61.8565,2.4599,0.018524
hard L/T=1.0,1.000,Pessen-Integral,FREQ,1.58328,1.27805,0.73553,0.5700,14.3700,29.379,2.22862,6.6557,7.4959,0.000070
hard L/T=1.0,1.000,Some-Overshoot,FREQ,0.74640,0.48201,0.77055,2.7700,11.3200,7.039,2.43503,5.0518,3.4363,-0.000007
hard L/T=1.0,1.000,No-Overshoot,FREQ,0.45237,0.29213,0.46700,5.4700,10.0000,0.044,3.41848,8.6615,0.8907,-0.000005
hard L/T=1.0,1.000,AMIGO-freq,FREQ,0.36189,0.25402,0.11208,6.7500,13.3900,0.000,3.92664,12.7705,0.6880,0.000005
hard L/T=1.0,1.000,Cohen-Coon,FOPDT,1.58333,0.87500,0.48718,0.5900,9.3000,27.998,2.01012,3.9290,4.7314,0.000000
