series,t,setpoint,y,u
Ziegler-Nichols,0.0000,1.000000,0.000000,1.799699
Ziegler-Nichols,0.0200,1.000000,0.000000,1.864998
Ziegler-Nichols,0.0400,1.000000,0.000000,1.930297
Ziegler-Nichols,0.0600,1.000000,0.000000,1.995596
Ziegler-Nichols,0.0800,1.000000,0.000000,2.000000
Ziegler-Nichols,0.1000,1.000000,0.000000,2.000000
Ziegler-Nichols,0.1200,1.000000,0.000000,2.000000
Ziegler-Nichols,0.1400,1.000000,0.000000,2.000000
Ziegler-Nichols,0.1600,1.000000,0.000000,2.000000
Ziegler-Nichols,0.1800,1.000000,0.000000,2.000000
Ziegler-Nichols,0.2000,1.000000,0.000000,2.000000
Ziegler-Nichols,0.2200,1.000000,0.000000,2.000000
Ziegler-Nichols,0.2400,1.000000,0.000000,2.000000
Ziegler-Nichols,0.2600,1.000000,0.000000,2.000000
Ziegler-Nichols,0.2800,1.000000,0.000000,2.000000
Ziegler-Nichols,0.3000,1.000000,0.035815,2.000000
Ziegler-Nichols,0.3200,1.000000,0.108321,1.858955
Ziegler-Nichols,0.3400,1.000000,0.181978,1.587055
Ziegler-Nichols,0.3600,1.000000,0.256762,1.432940
Ziegler-Nichols,0.3800,1.000000,0.330883,1.320061
Ziegler-Nichols,0.4000,1.000000,0.403536,1.234940
Ziegler-Nichols,0.4200,1.000000,0.474751,1.157905
Ziegler-Nichols,0.4400,1.000000,0.544556,1.081915
Ziegler-Nichols,0.4600,1.000000,0.612978,1.004675
Ziegler-Nichols,0.4800,1.000000,0.680046,0.925457
Ziegler-Nichols,0.5000,1.000000,0.745785,0.844052
Ziegler-Nichols,0.5200,1.000000,0.810223,0.760419
Ziegler-Nichols,0.5400,1.000000,0.873385,0.674578
Ziegler-Nichols,0.5600,1.000000,0.935296,0.586561
Ziegler-Nichols,0.5800,1.000000,0.995981,0.496410
Ziegler-Nichols,0.6000,1.000000,1.055465,0.404165
Ziegler-Nichols,0.6200,1.000000,1.110964,0.309869
Ziegler-Nichols,0.6400,1.000000,1.154017,0.306470
Ziegler-Nichols,0.6600,1.000000,1.189286,0.336001
Ziegler-Nichols,0.6800,1.000000,1.219022,0.352251
Ziegler-Nichols,0.7000,1.000000,1.244594,0.354682
Ziegler-Nichols,0.7200,1.000000,1.266556,0.348360
Ziegler-Nichols,0.7400,1.000000,1.285073,0.340001
Ziegler-Nichols,0.7600,1.000000,1.300180,0.333682
Ziegler-Nichols,0.7800,1.000000,1.311871,0.331465
Ziegler-Nichols,0.8000,1.000000,1.320129,0.334375
Ziegler-Nichols,0.8200,1.000000,1.324932,0.342975
Ziegler-Nichols,0.8400,1.000000,1.326263,0.357624
Ziegler-Nichols,0.8600,1.000000,1.324103,0.378608
Ziegler-Nichols,0.8800,1.000000,1.318436,0.406173
Ziegler-Nichols,0.9000,1.000000,1.309249,0.440561
Ziegler-Nichols,0.9200,1.000000,1.296530,0.481999
Ziegler-Nichols,0.9400,1.000000,1.282779,0.522730
Ziegler-Nichols,0.9600,1.000000,1.270416,0.532081
Ziegler-Nichols,0.9800,1.000000,1.259082,0.526726
Ziegler-Nichols,1.0000,1.000000,1.248204,0.521021
Ziegler-Nichols,1.0200,1.000000,1.237359,0.519885
Ziegler-Nichols,1.0400,1.000000,1.226403,0.523051
Ziegler-Nichols,1.0600,1.000000,1.215388,0.528415
Ziegler-Nichols,1.0800,1.000000,1.204458,0.534014
Ziegler-Nichols,1.1000,1.000000,1.193809,0.538430
Ziegler-Nichols,1.1200,1.000000,1.183653,0.540675
Ziegler-Nichols,1.1400,1.000000,1.174219,0.540000
Ziegler-Nichols,1.1600,1.000000,1.165739,0.535773
Ziegler-Nichols,1.1800,1.000000,1.158453,0.527402
Ziegler-Nichols,1.2000,1.000000,1.152606,0.514300
Ziegler-Nichols,1.2200,1.000000,1.148445,0.495876
Ziegler-Nichols,1.2400,1.000000,1.146065,0.471517
Ziegler-Nichols,1.2600,1.000000,1.144417,0.448258
Ziegler-Nichols,1.2800,1.000000,1.142680,0.434920
